Date,Session,Game Number,Script,Result,PlayerCount,,Session,Game Number,Player,Role,Notes,Alignment Switch,,Session,Game Number,Phase,Player,Action,Target,Note,,Session,Game Number,Vote Number,Player,Target,Total Votes,On the Block,Executed,,Session,Game Number,Vote Number,Player,Voted,Dead,Dead Vote Used,,,,,,,,,,,,,,,,,,,,,,,
10/07/2022,20,2,How would you like to win?,Good,12,,20,2,Alejo,ST,,,,20,2,N1,Weaver,Philosopher Switch,Innkeeper,,,20,2,1,Sam,Sam,8,TRUE,TRUE,,20,2,1,Permzilla,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,2,Frosty,ST,,,,20,2,N1,Lyphoon,Drunked,,,,20,2,2,Lyra,Dice,4,FALSE,FALSE,,20,2,1,Jordan,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,2,Tim,Balloonist,,FALSE,,20,2,N1,Tanfana,Alchemist Ability,Boomdandy,,,20,2,3,Lycan,Weaver,1,FALSE,FALSE,,20,2,1,Lyphoon,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,2,Dice,Lleech,,FALSE,,20,2,N1,Stephen,Minion Information,Standard,,,20,2,4,Lyphoon,Jordan,4,FALSE,FALSE,,20,2,1,Tim,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,2,Weaver,Philosopher,,FALSE,,20,2,N1,Lycan,Minion Information,Standard,,,20,2,5,Lyra,Lyphoon,4,FALSE,FALSE,,20,2,1,Dice,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,2,Lyra,Politician,,FALSE,,20,2,N1,Dice,Demon Information,Standard,,,20,2,6,Jordan,Lycan,5,TRUE,TRUE,,20,2,1,Weaver,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,2,Tanfana,Alchemist,,FALSE,,20,2,N1,Dice,Lleech Host,Lyra,,,20,2,7,Tanfana,Tanfana,2,FALSE,FALSE,,20,2,1,Lyra,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,2,KK,Librarian,,FALSE,,20,2,N1,Stephen,Poisoner Pick,Permzilla,,,20,2,8,Jordan,Lyphoon,4,TRUE,TRUE,,20,2,1,Tanfana,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,2,Stephen,Poisoner,,FALSE,,20,2,N1,Permzilla,Poisoned,,,,20,2,9,Tanfana,Tanfana,2,FALSE,FALSE,,20,2,1,KK,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,2,Lycan,Fearmonger,,FALSE,,20,2,N1,Lycan,Fearmonger Pick,Weaver,,,20,2,10,Lyphoon,KK,2,FALSE,FALSE,,20,2,1,Stephen,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,2,Sam,Damsel,,FALSE,,20,2,N1,KK,Librarian Information,Damsel|Sam|Tanfana,,,20,2,11,Lyra,Stephen,0,FALSE,FALSE,,20,2,1,Lycan,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,2,Permzilla,Artist,,FALSE,,20,2,N1,Jordan,Clockmaker Number,5,,,20,2,12,KK,Dice,6,TRUE,TRUE,,20,2,1,Sam,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,2,Jordan,Clockmaker,,FALSE,,20,2,N1,Tim,Balloonist Information,Dice,,,20,2,13,Stephen,Stephen,2,FALSE,FALSE,,20,2,2,Weaver,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,2,Lyphoon,Innkeeper,,FALSE,,20,2,D1,Sam,Nomination,Sam,V1,,20,2,14,Jordan,Tanfana,4,TRUE,TRUE,,20,2,2,Lyra,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,2,Bluff,Grandmother,,,,20,2,D1,Lyra,Nomination,Dice,V2,,,,,,,,,,,20,2,2,Tanfana,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,2,Bluff,Fortune Teller,,,,20,2,D1,Sam,Executed,,,,,,,,,,,,,20,2,2,KK,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,2,Bluff,Huntsman,,,,20,2,N2,Stephen,Poisoner Pick,Tanfana,,,,,,,,,,,,20,2,2,Stephen,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,2,N2,Permzilla,Healthy,,,,,,,,,,,,,20,2,2,Lycan,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,2,N2,Tanfana,Poisoned,,,,,,,,,,,,,20,2,2,Sam,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,2,N2,Lyphoon,Innkeeper Protect,Jordan|Lyra,,,,,,,,,,,,20,2,2,Permzilla,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,2,N2,Weaver,Innkeeper Protect,Dice|Lyra,,,,,,,,,,,,20,2,2,Jordan,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,2,N2,Lyra,Innkeeper Drunk,,,,,,,,,,,,,20,2,2,Lyphoon,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,2,N2,Lycan,Fearmonger Pick,Weaver,,,,,,,,,,,,20,2,2,Tim,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,2,N2,Dice,Demon Kill,Tim,,,,,,,,,,,,20,2,2,Dice,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,2,D2,Lycan,Nomination,Weaver,V3,,,,,,,,,,,20,2,3,Lyra,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,2,D2,Lyphoon,Nomination,Jordan,V4,,,,,,,,,,,20,2,3,Tanfana,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,2,D2,Lyra,Nomination,Lyphoon,V5,,,,,,,,,,,20,2,3,KK,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,2,D2,Jordan,Nomination,Lycan,V6,,,,,,,,,,,20,2,3,Stephen,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,2,D2,Tanfana,Nomination,Tanfana,V7,,,,,,,,,,,20,2,3,Lycan,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,2,D2,Lycan,Executed,,,,,,,,,,,,,20,2,3,Sam,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,2,N3,Stephen,Poisoner Pick,Weaver,,,,,,,,,,,,20,2,3,Permzilla,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,2,N3,Weaver,Poisoned,,,,,,,,,,,,,20,2,3,Jordan,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,2,N3,Tanfana,Healthy,,,,,,,,,,,,,20,2,3,Lyphoon,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,2,N3,Lyphoon,Innkeeper Protect,Stephen|KK,,,,,,,,,,,,20,2,3,Tim,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20,2,N3,Weaver,Innkeeper Protect,Tanfana|Dice,,,,,,,,,,,,20,2,3,Dice,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
